X,Y,Z
# Scan parameters: Height: 100mm, Layer height: 0.50mm
# Data points below:
6.623,0.000,0.000
6.662,0.026,0.000
6.631,0.052,0.000
6.607,0.078,0.000
6.630,0.104,0.000
6.630,0.130,0.000
6.803,0.160,0.000
6.621,0.182,0.000
6.651,0.209,0.000
6.634,0.235,0.000
6.641,0.261,0.000
6.625,0.286,0.000
6.798,0.321,0.000
6.614,0.338,0.000
6.621,0.364,0.000
6.786,0.400,0.000
6.618,0.416,0.000
6.608,0.442,0.000
6.622,0.469,0.000
6.605,0.494,0.000
6.603,0.520,0.000
6.616,0.547,0.000
6.598,0.571,0.000
6.604,0.598,0.000
6.797,0.643,0.000
6.560,0.646,0.000
6.619,0.678,0.000
6.745,0.718,0.000
6.583,0.727,0.000
6.754,0.772,0.000
6.577,0.778,0.000
6.574,0.804,0.000
6.571,0.830,0.000
6.741,0.878,0.000
6.572,0.883,0.000
6.568,0.909,0.000
6.686,0.952,0.000
6.553,0.959,0.000
6.557,0.986,0.000
6.718,1.037,0.000
6.610,1.047,0.000
6.560,1.065,0.000
6.720,1.119,0.000
6.597,1.125,0.000
6.532,1.140,0.000
6.588,1.176,0.000
6.546,1.195,0.000
6.579,1.228,0.000
6.566,1.253,0.000
6.576,1.281,0.000
6.732,1.339,0.000
6.566,1.333,0.000
6.546,1.356,0.000
6.578,1.389,0.000
6.710,1.445,0.000
6.537,1.434,0.000
6.524,1.458,0.000
6.700,1.525,0.000
6.680,1.548,0.000
6.514,1.537,0.000
6.500,1.561,0.000
6.509,1.590,0.000
6.480,1.610,0.000
6.489,1.639,0.000
6.482,1.664,0.000
6.476,1.690,0.000
6.469,1.715,0.000
6.455,1.739,0.000
6.455,1.766,0.000
6.441,1.789,0.000
6.441,1.817,0.000
6.434,1.842,0.000
6.599,1.917,0.000
6.412,1.890,0.000
6.404,1.915,0.000
6.397,1.940,0.000
6.411,1.972,0.000
6.553,2.044,0.000
6.558,2.074,0.000
6.373,2.043,0.000
6.528,2.121,0.000
6.357,2.093,0.000
6.312,2.106,0.000
6.496,2.196,0.000
6.501,2.226,0.000
6.309,2.188,0.000
6.271,2.202,0.000
6.495,2.309,0.000
6.275,2.259,0.000
6.273,2.286,0.000
6.257,2.308,0.000
6.270,2.341,0.000
6.224,2.352,0.000
6.251,2.390,0.000
6.234,2.412,0.000
6.232,2.439,0.000
6.215,2.461,0.000
6.213,2.488,0.000
6.203,2.512,0.000
6.207,2.543,0.000
6.183,2.561,0.000
6.180,2.588,0.000
6.163,2.610,0.000
6.152,2.634,0.000
6.300,2.726,0.000
6.124,2.679,0.000
6.114,2.703,0.000
6.274,2.803,0.000
6.099,2.754,0.000
6.075,2.772,0.000
6.064,2.795,0.000
6.067,2.826,0.000
6.055,2.849,0.000
6.044,2.873,0.000
6.019,2.890,0.000
6.021,2.921,0.000
6.010,2.944,0.000
5.998,2.968,0.000
5.987,2.991,0.000
5.982,3.018,0.000
5.963,3.038,0.000
5.951,3.062,0.000
6.111,3.174,0.000
5.920,3.105,0.000
5.914,3.132,0.000
5.895,3.151,0.000
6.054,3.266,0.000
5.870,3.197,0.000
5.865,3.224,0.000
5.989,3.323,0.000
6.052,3.389,0.000
5.839,3.300,0.000
5.833,3.327,0.000
5.807,3.342,0.000
5.794,3.365,0.000
5.774,3.384,0.000
5.760,3.407,0.000
5.747,3.429,0.000
5.753,3.464,0.000
5.726,3.478,0.000
5.713,3.501,0.000
5.705,3.527,0.000
5.698,3.554,0.000
5.671,3.568,0.000
5.663,3.594,0.000
5.662,3.625,0.000
5.629,3.634,0.000
5.788,3.770,0.000
5.755,3.781,0.000
5.579,3.696,0.000
5.533,3.697,0.000
5.698,3.840,0.000
5.522,3.753,0.000
5.520,3.783,0.000
5.493,3.796,0.000
5.490,3.827,0.000
5.482,3.853,0.000
5.460,3.870,0.000
5.445,3.891,0.000
5.563,4.008,0.000
5.547,4.030,0.000
5.405,3.959,0.000
5.377,3.972,0.000
5.380,4.006,0.000
5.346,4.014,0.000
5.348,4.048,0.000
5.332,4.069,0.000
5.298,4.076,0.000
5.282,4.097,0.000
5.266,4.118,0.000
5.238,4.129,0.000
5.233,4.159,0.000
5.223,4.184,0.000
5.201,4.200,0.000
5.166,4.206,0.000
5.161,4.236,0.000
5.157,4.266,0.000
5.146,4.291,0.000
5.082,4.272,0.000
5.094,4.316,0.000
5.247,4.481,0.000
5.019,4.321,0.000
5.002,4.341,0.000
4.979,4.355,0.000
5.105,4.500,0.000
4.951,4.399,0.000
4.933,4.419,0.000
4.916,4.438,0.000
4.904,4.463,0.000
4.881,4.477,0.000
4.841,4.475,0.000
4.851,4.520,0.000
4.961,4.658,0.000
4.805,4.547,0.000
4.798,4.577,0.000
4.780,4.596,0.000
4.789,4.641,0.000
4.744,4.633,0.000
4.720,4.646,0.000
4.702,4.665,0.000
4.689,4.689,0.000
4.665,4.702,0.000
4.646,4.720,0.000
4.739,4.852,0.000
4.598,4.745,0.000
4.547,4.729,0.000
4.582,4.803,0.000
4.510,4.765,0.000
4.502,4.794,0.000
4.456,4.783,0.000
4.459,4.823,0.000
4.434,4.835,0.000
4.431,4.870,0.000
4.505,4.990,0.000
4.382,4.893,0.000
4.481,5.042,0.000
4.461,5.060,0.000
4.330,4.950,0.000
4.300,4.955,0.000
4.290,4.984,0.000
4.266,4.995,0.000
4.241,5.005,0.000
4.340,5.164,0.000
4.191,5.026,0.000
4.197,5.073,0.000
4.162,5.071,0.000
4.137,5.081,0.000
4.248,5.259,0.000
4.222,5.270,0.000
4.092,5.148,0.000
4.062,5.152,0.000
4.046,5.174,0.000
4.040,5.209,0.000
4.001,5.200,0.000
4.097,5.368,0.000
4.076,5.384,0.000
3.934,5.240,0.000
3.918,5.262,0.000
3.898,5.277,0.000
3.877,5.292,0.000
3.856,5.308,0.000
3.849,5.342,0.000
3.819,5.344,0.000
3.793,5.353,0.000
3.772,5.367,0.000
3.783,5.427,0.000
3.761,5.442,0.000
3.744,5.463,0.000
3.714,5.465,0.000
3.799,5.637,0.000
3.781,5.658,0.000
3.623,5.469,0.000
3.606,5.490,0.000
3.585,5.504,0.000
3.559,5.511,0.000
3.541,5.532,0.000
3.519,5.546,0.000
3.592,5.710,0.000
3.574,5.730,0.000
3.458,5.594,0.000
3.424,5.587,0.000
3.398,5.594,0.000
3.388,5.627,0.000
3.362,5.634,0.000
3.336,5.640,0.000
3.422,5.839,0.000
3.295,5.673,0.000
3.354,5.826,0.000
3.335,5.846,0.000
3.232,5.718,0.000
