X,Y,Z
# Scan parameters: Height: 20cm, Layer height: 0.50cm
# Data points below:
1.695,0.000,0.000
1.640,0.006,0.000
2.021,0.016,0.000
1.649,0.019,0.000
1.603,0.025,0.000
1.631,0.032,0.000
1.640,0.039,0.000
1.621,0.045,0.000
1.846,0.058,0.000
1.863,0.066,0.000
1.684,0.066,0.000
1.629,0.070,0.000
1.602,0.076,0.000
1.629,0.083,0.000
1.656,0.091,0.000
1.646,0.097,0.000
1.637,0.103,0.000
1.636,0.109,0.000
1.627,0.115,0.000
1.599,0.120,0.000
1.644,0.129,0.000
1.671,0.138,0.000
1.634,0.142,0.000
1.857,0.168,0.000
1.865,0.176,0.000
1.695,0.167,0.000
1.604,0.164,0.000
1.631,0.174,0.000
1.621,0.179,0.000
1.755,0.201,0.000
1.620,0.192,0.000
1.736,0.212,0.000
1.945,0.246,0.000
1.761,0.229,0.000
1.742,0.234,0.000
1.723,0.238,0.000
1.740,0.248,0.000
1.957,0.286,0.000
1.756,0.264,0.000
1.755,0.271,0.000
1.745,0.276,0.000
2.004,0.325,0.000
1.968,0.328,0.000
1.993,0.340,0.000
1.974,0.345,0.000
2.141,0.382,0.000
1.738,0.317,0.000
1.737,0.324,0.000
1.700,0.324,0.000
1.760,0.343,0.000
1.966,0.391,0.000
1.964,0.399,0.000
1.721,0.356,0.000
1.720,0.363,0.000
1.745,0.376,0.000
1.769,0.388,0.000
1.733,0.387,0.000
1.714,0.390,0.000
1.721,0.399,0.000
1.797,0.424,0.000
1.924,0.462,0.000
1.716,0.419,0.000
1.715,0.426,0.000
1.669,0.422,0.000
1.702,0.437,0.000
1.914,0.499,0.000
2.061,0.547,0.000
1.927,0.519,0.000
1.815,0.497,0.000
1.830,0.508,0.000
1.845,0.520,0.000
1.826,0.523,0.000
2.256,0.655,0.000
2.046,0.603,0.000
1.803,0.539,0.000
2.024,0.614,0.000
2.030,0.625,0.000
1.805,0.563,0.000
1.820,0.575,0.000
2.031,0.651,0.000
1.840,0.598,0.000
1.788,0.589,0.000
1.819,0.607,0.000
1.800,0.608,0.000
1.806,0.618,0.000
1.787,0.620,0.000
1.759,0.618,0.000
1.790,0.636,0.000
1.787,0.643,0.000
1.891,0.689,0.000
1.766,0.651,0.000
2.053,0.767,0.000
2.058,0.778,0.000
2.086,0.798,0.000
2.114,0.818,0.000
1.753,0.686,0.000
1.758,0.696,0.000
1.972,0.790,0.000
1.753,0.710,0.000
1.966,0.805,0.000
1.763,0.730,0.000
1.967,0.824,0.000
1.956,0.828,0.000
1.738,0.744,0.000
1.760,0.761,0.000
1.732,0.758,0.000
1.737,0.768,0.000
1.718,0.768,0.000
1.739,0.785,0.000
1.878,0.857,0.000
1.804,0.832,0.000
1.809,0.843,0.000
1.558,0.733,0.000
1.636,0.778,0.000
1.609,0.772,0.000
1.590,0.771,0.000
1.578,0.773,0.000
1.567,0.775,0.000
1.588,0.794,0.000
1.513,0.763,0.000
1.700,0.866,0.000
1.767,0.909,0.000
1.447,0.752,0.000
1.444,0.758,0.000
1.474,0.780,0.000
1.454,0.777,0.000
1.467,0.792,0.000
1.432,0.780,0.000
1.421,0.781,0.000
1.434,0.796,0.000
1.431,0.801,0.000
1.452,0.820,0.000
1.635,0.932,0.000
1.421,0.818,0.000
1.379,0.801,0.000
1.446,0.848,0.000
1.412,0.835,0.000
1.408,0.840,0.000
1.405,0.846,0.000
1.410,0.856,0.000
1.605,0.983,0.000
1.638,1.013,0.000
1.575,0.982,0.000
1.586,0.998,0.000
1.369,0.869,0.000
1.374,0.879,0.000
1.370,0.885,0.000
1.570,1.022,0.000
1.573,1.033,0.000
1.569,1.039,0.000
1.364,0.911,0.000
1.360,0.917,0.000
1.372,0.932,0.000
1.338,0.917,0.000
1.349,0.933,0.000
1.338,0.933,0.000
1.533,1.077,0.000
1.543,1.093,0.000
1.437,1.027,0.000
1.411,1.017,0.000
1.429,1.038,0.000
1.432,1.049,0.000
1.435,1.060,0.000
1.607,1.197,0.000
1.413,1.061,0.000
1.409,1.066,0.000
1.426,1.088,0.000
1.428,1.099,0.000
1.577,1.223,0.000
1.592,1.245,0.000
1.793,1.414,0.000
1.487,1.182,0.000
1.483,1.188,0.000
1.478,1.194,0.000
1.460,1.188,0.000
1.455,1.194,0.000
1.464,1.211,0.000
1.466,1.222,0.000
1.652,1.389,0.000
1.621,1.373,0.000
1.628,1.390,0.000
1.603,1.380,0.000
1.441,1.251,0.000
1.456,1.274,0.000
1.425,1.256,0.000
1.594,1.417,0.000
1.582,1.417,0.000
1.417,1.279,0.000
1.412,1.284,0.000
1.381,1.266,0.000
1.389,1.284,0.000
1.377,1.283,0.000
1.391,1.306,0.000
1.549,1.466,0.000
1.549,1.478,0.000
1.369,1.317,0.000
1.371,1.328,0.000
1.346,1.315,0.000
1.341,1.320,0.000
1.336,1.326,0.000
1.356,1.356,0.000
1.496,1.508,0.000
1.308,1.329,0.000
1.315,1.346,0.000
1.304,1.345,0.000
1.317,1.369,0.000
1.478,1.549,0.000
1.466,1.549,0.000
1.454,1.548,0.000
1.301,1.396,0.000
1.278,1.382,0.000
1.278,1.394,0.000
1.255,1.379,0.000
1.273,1.410,0.000
1.434,1.601,0.000
1.268,1.427,0.000
1.245,1.412,0.000
1.251,1.430,0.000
1.375,1.585,0.000
1.234,1.433,0.000
1.234,1.445,0.000
1.228,1.449,0.000
1.228,1.461,0.000
1.217,1.459,0.000
1.349,1.630,0.000
1.200,1.462,0.000
1.194,1.466,0.000
1.205,1.492,0.000
1.204,1.503,0.000
1.182,1.487,0.000
1.171,1.485,0.000
1.170,1.496,0.000
1.154,1.487,0.000
1.153,1.499,0.000
1.152,1.510,0.000
1.136,1.501,0.000
1.130,1.505,0.000
1.269,1.704,0.000
1.252,1.695,0.000
1.240,1.693,0.000
1.248,1.718,0.000
1.126,1.563,0.000
1.104,1.546,0.000
1.335,1.883,0.000
1.087,1.547,0.000
1.076,1.544,0.000
1.070,1.548,0.000
1.167,1.703,0.000
1.194,1.757,0.000
1.047,1.553,0.000
1.051,1.572,0.000
1.049,1.584,0.000
1.038,1.580,0.000
1.022,1.570,0.000
1.030,1.596,0.000
1.173,1.832,0.000
1.097,1.729,0.000
1.030,1.638,0.000
1.001,1.604,0.000
1.117,1.807,0.000
0.993,1.620,0.000
0.986,1.624,0.000
0.980,1.627,0.000
1.106,1.853,0.000
0.976,1.650,0.000
0.961,1.639,0.000
1.067,1.837,0.000
0.943,1.639,0.000
0.941,1.650,0.000
1.070,1.893,0.000
1.050,1.875,0.000
0.917,1.653,0.000
0.919,1.672,0.000
0.996,1.828,0.000
0.915,1.695,0.000
0.891,1.668,0.000
0.872,1.648,0.000
0.979,1.866,0.000
