X,Y,Z
# Scan parameters: Height: 20cm, Layer height: 0.50cm
# Data points below:
7.508,0.000,0.000
7.890,0.031,0.000
8.501,0.067,0.000
8.766,0.103,0.000
9.197,0.144,0.000
9.627,0.189,0.000
9.607,0.226,0.000
9.429,0.259,0.000
9.485,0.298,0.000
9.298,0.329,0.000
9.406,0.370,0.000
9.242,0.399,0.000
9.226,0.435,0.000
9.208,0.470,0.000
9.220,0.507,0.000
9.180,0.541,0.000
9.338,0.587,0.000
9.176,0.613,0.000
9.184,0.650,0.000
9.326,0.697,0.000
9.143,0.720,0.000
9.205,0.761,0.000
9.109,0.789,0.000
9.108,0.825,0.000
9.111,0.861,0.000
9.105,0.897,0.000
9.050,0.927,0.000
9.075,0.966,0.000
9.056,1.000,0.000
9.062,1.037,0.000
9.039,1.070,0.000
9.034,1.105,0.000
9.032,1.141,0.000
9.030,1.177,0.000
9.152,1.229,0.000
8.999,1.245,0.000
8.989,1.279,0.000
9.030,1.321,0.000
9.119,1.371,0.000
8.956,1.382,0.000
8.944,1.417,0.000
8.923,1.449,0.000
8.919,1.485,0.000
8.916,1.520,0.000
9.059,1.581,0.000
8.886,1.587,0.000
9.041,1.651,0.000
8.862,1.654,0.000
9.027,1.722,0.000
8.822,1.719,0.000
8.793,1.749,0.000
8.931,1.813,0.000
8.797,1.822,0.000
8.952,1.891,0.000
8.757,1.885,0.000
8.736,1.917,0.000
8.729,1.951,0.000
8.721,1.985,0.000
8.713,2.020,0.000
8.871,2.093,0.000
8.656,2.078,0.000
8.664,2.116,0.000
8.646,2.148,0.000
8.642,2.183,0.000
8.795,2.258,0.000
8.625,2.251,0.000
8.791,2.331,0.000
8.609,2.319,0.000
8.781,2.402,0.000
8.584,2.385,0.000
8.579,2.420,0.000
8.570,2.453,0.000
8.553,2.485,0.000
8.550,2.520,0.000
8.699,2.602,0.000
8.534,2.589,0.000
8.562,2.634,0.000
8.480,2.645,0.000
8.470,2.679,0.000
8.452,2.710,0.000
8.457,2.748,0.000
8.440,2.779,0.000
8.431,2.813,0.000
8.415,2.844,0.000
8.402,2.877,0.000
8.379,2.906,0.000
8.506,2.987,0.000
8.338,2.965,0.000
8.488,3.056,0.000
8.294,3.023,0.000
8.237,3.039,0.000
8.409,3.140,0.000
8.215,3.104,0.000
8.374,3.202,0.000
8.359,3.234,0.000
8.191,3.206,0.000
8.355,3.308,0.000
8.180,3.276,0.000
8.200,3.321,0.000
8.185,3.353,0.000
8.174,3.386,0.000
8.169,3.422,0.000
8.308,3.518,0.000
8.153,3.490,0.000
8.126,3.517,0.000
8.104,3.545,0.000
8.087,3.575,0.000
8.073,3.607,0.000
8.050,3.635,0.000
8.058,3.676,0.000
8.041,3.707,0.000
8.180,3.810,0.000
8.001,3.765,0.000
8.101,3.851,0.000
8.169,3.923,0.000
8.010,3.885,0.000
8.128,3.982,0.000
7.962,3.939,0.000
7.951,3.973,0.000
8.087,4.080,0.000
8.076,4.115,0.000
7.903,4.066,0.000
8.038,4.175,0.000
7.869,4.127,0.000
7.865,4.164,0.000
7.828,4.184,0.000
7.814,4.216,0.000
7.799,4.248,0.000
7.937,4.364,0.000
7.794,4.325,0.000
7.932,4.442,0.000
7.907,4.469,0.000
7.733,4.411,0.000
7.711,4.439,0.000
7.706,4.476,0.000
7.822,4.585,0.000
7.652,4.525,0.000
7.803,4.656,0.000
7.694,4.632,0.000
7.779,4.725,0.000
7.744,4.745,0.000
7.588,4.691,0.000
7.704,4.805,0.000
7.539,4.743,0.000
7.518,4.771,0.000
7.656,4.901,0.000
7.622,4.922,0.000
7.497,4.882,0.000
7.476,4.911,0.000
7.458,4.941,0.000
7.581,5.065,0.000
7.419,5.000,0.000
7.443,5.058,0.000
7.385,5.062,0.000
7.348,5.079,0.000
7.364,5.133,0.000
7.454,5.239,0.000
7.305,5.177,0.000
7.305,5.220,0.000
7.249,5.223,0.000
7.238,5.259,0.000
7.217,5.287,0.000
7.196,5.315,0.000
7.172,5.341,0.000
7.119,5.345,0.000
7.133,5.400,0.000
7.249,5.532,0.000
7.246,5.575,0.000
7.127,5.528,0.000
7.261,5.678,0.000
7.143,5.631,0.000
7.132,5.668,0.000
7.127,5.710,0.000
7.131,5.759,0.000
7.112,5.790,0.000
7.234,5.937,0.000
7.088,5.863,0.000
7.065,5.891,0.000
7.069,5.942,0.000
7.132,6.043,0.000
7.083,6.049,0.000
6.949,5.982,0.000
6.923,6.008,0.000
6.879,6.017,0.000
6.993,6.165,0.000
6.932,6.160,0.000
6.811,6.100,0.000
6.795,6.134,0.000
6.758,6.149,0.000
6.741,6.183,0.000
6.714,6.206,0.000
6.792,6.329,0.000
6.657,6.251,0.000
6.753,6.391,0.000
6.722,6.412,0.000
6.704,6.446,0.000
6.564,6.361,0.000
6.535,6.382,0.000
6.516,6.414,0.000
6.490,6.440,0.000
6.464,6.464,0.000
6.438,6.489,0.000
6.429,6.531,0.000
6.518,6.673,0.000
6.489,6.696,0.000
6.383,6.638,0.000
6.437,6.748,0.000
6.311,6.668,0.000
6.288,6.696,0.000
6.375,6.843,0.000
6.244,6.755,0.000
6.215,6.776,0.000
6.191,6.804,0.000
6.174,6.839,0.000
6.258,6.987,0.000
6.128,6.896,0.000
6.111,6.931,0.000
6.077,6.947,0.000
6.168,7.108,0.000
6.037,7.012,0.000
6.021,7.050,0.000
5.986,7.064,0.000
6.055,7.203,0.000
5.927,7.108,0.000
5.928,7.166,0.000
5.878,7.162,0.000
5.954,7.313,0.000
5.844,7.237,0.000
5.870,7.327,0.000
5.800,7.298,0.000
5.855,7.427,0.000
5.745,7.347,0.000
5.798,7.474,0.000
5.661,7.358,0.000
5.629,7.375,0.000
5.592,7.387,0.000
5.684,7.571,0.000
5.522,7.414,0.000
5.461,7.394,0.000
5.432,7.415,0.000
5.382,7.407,0.000
5.326,7.392,0.000
5.392,7.545,0.000
5.322,7.510,0.000
5.189,7.383,0.000
5.131,7.362,0.000
5.085,7.358,0.000
5.136,7.493,0.000
5.071,7.462,0.000
4.920,7.301,0.000
4.977,7.448,0.000
4.928,7.439,0.000
4.789,7.290,0.000
4.737,7.273,0.000
4.803,7.439,0.000
4.659,7.277,0.000
4.613,7.269,0.000
4.567,7.259,0.000
4.517,7.243,0.000
4.564,7.382,0.000
4.528,7.389,0.000
4.398,7.240,0.000
4.338,7.205,0.000
4.289,7.189,0.000
4.267,7.215,0.000
4.319,7.369,0.000
4.279,7.367,0.000
4.156,7.221,0.000
4.129,7.239,0.000
4.183,7.401,0.000
4.154,7.417,0.000
4.028,7.260,0.000
3.967,7.217,0.000
3.945,7.243,0.000
4.003,7.419,0.000
3.958,7.405,0.000
3.831,7.236,0.000
3.796,7.238,0.000
