X,Y,Z
# Scan parameters: Height: 100cm, Layer height: 0.50cm
# Data points below:
5.771,0.000,0.000
5.957,0.023,0.000
5.966,0.047,0.000
5.957,0.070,0.000
6.382,0.100,0.000
6.390,0.125,0.000
6.519,0.154,0.000
5.872,0.161,0.000
5.872,0.185,0.000
5.880,0.208,0.000
5.842,0.230,0.000
5.860,0.253,0.000
5.849,0.276,0.000
5.848,0.299,0.000
5.866,0.323,0.000
5.864,0.346,0.000
5.909,0.372,0.000
5.935,0.397,0.000
5.924,0.419,0.000
5.867,0.439,0.000
6.485,0.510,0.000
5.937,0.491,0.000
5.944,0.515,0.000
6.470,0.586,0.000
5.922,0.560,0.000
5.956,0.587,0.000
6.455,0.661,0.000
5.915,0.630,0.000
5.858,0.647,0.000
5.855,0.670,0.000
5.889,0.697,0.000
5.932,0.726,0.000
5.892,0.744,0.000
6.402,0.834,0.000
6.260,0.841,0.000
5.883,0.814,0.000
5.889,0.838,0.000
5.868,0.859,0.000
5.837,0.878,0.000
5.879,0.907,0.000
5.893,0.933,0.000
5.789,0.940,0.000
5.859,0.975,0.000
5.846,0.997,0.000
5.860,1.023,0.000
5.874,1.049,0.000
6.351,1.160,0.000
5.847,1.092,0.000
5.825,1.111,0.000
6.345,1.236,0.000
5.816,1.157,0.000
5.821,1.182,0.000
5.816,1.204,0.000
6.317,1.334,0.000
6.328,1.362,0.000
5.881,1.290,0.000
5.796,1.296,0.000
6.303,1.435,0.000
5.848,1.355,0.000
5.851,1.381,0.000
5.863,1.408,0.000
6.365,1.555,0.000
5.826,1.447,0.000
5.794,1.463,0.000
5.753,1.477,0.000
5.729,1.495,0.000
5.759,1.527,0.000
5.770,1.554,0.000
5.729,1.567,0.000
5.740,1.595,0.000
6.299,1.776,0.000
5.639,1.614,0.000
5.695,1.654,0.000
5.723,1.687,0.000
5.725,1.712,0.000
6.092,1.848,0.000
6.194,1.906,0.000
5.679,1.771,0.000
5.654,1.788,0.000
5.673,1.819,0.000
5.622,1.827,0.000
5.702,1.877,0.000
6.125,2.043,0.000
6.132,2.073,0.000
5.610,1.921,0.000
5.585,1.937,0.000
5.595,1.965,0.000
5.605,1.993,0.000
5.571,2.006,0.000
5.580,2.034,0.000
5.894,2.175,0.000
6.056,2.261,0.000
5.556,2.099,0.000
5.548,2.121,0.000
5.522,2.136,0.000
5.505,2.155,0.000
5.514,2.183,0.000
5.505,2.205,0.000
5.513,2.233,0.000
5.496,2.251,0.000
5.943,2.461,0.000
5.418,2.269,0.000
5.444,2.305,0.000
5.936,2.541,0.000
5.459,2.362,0.000
5.441,2.380,0.000
5.440,2.405,0.000
5.423,2.423,0.000
5.862,2.647,0.000
5.395,2.462,0.000
5.385,2.483,0.000
5.823,2.712,0.000
5.864,2.759,0.000
5.372,2.554,0.000
5.428,2.606,0.000
5.417,2.628,0.000
5.334,2.613,0.000
5.380,2.662,0.000
5.386,2.691,0.000
5.367,2.708,0.000
5.357,2.729,0.000
5.813,2.990,0.000
5.287,2.746,0.000
5.348,2.805,0.000
5.329,2.822,0.000
5.254,2.808,0.000
5.307,2.863,0.000
5.280,2.876,0.000
5.276,2.901,0.000
5.716,3.172,0.000
5.724,3.206,0.000
5.226,2.954,0.000
5.277,3.010,0.000
5.226,3.008,0.000
5.191,3.015,0.000
5.187,3.040,0.000
5.620,3.323,0.000
5.163,3.081,0.000
5.135,3.092,0.000
5.146,3.126,0.000
5.141,3.151,0.000
5.114,3.161,0.000
5.124,3.196,0.000
5.127,3.225,0.000
5.068,3.217,0.000
5.079,3.251,0.000
5.525,3.567,0.000
5.464,3.559,0.000
5.099,3.350,0.000
5.049,3.345,0.000
5.415,3.618,0.000
5.015,3.380,0.000
4.972,3.379,0.000
4.952,3.394,0.000
4.946,3.418,0.000
5.376,3.747,0.000
4.919,3.457,0.000
4.963,3.518,0.000
5.007,3.578,0.000
4.943,3.562,0.000
4.922,3.576,0.000
4.908,3.595,0.000
4.908,3.625,0.000
4.886,3.639,0.000
4.865,3.653,0.000
5.256,3.979,0.000
4.843,3.696,0.000
4.822,3.710,0.000
4.779,3.707,0.000
4.792,3.748,0.000
5.177,4.081,0.000
4.763,3.785,0.000
4.748,3.804,0.000
4.705,3.800,0.000
4.690,3.818,0.000
4.703,3.859,0.000
5.061,4.187,0.000
4.679,3.902,0.000
4.657,3.915,0.000
4.635,3.927,0.000
4.606,3.934,0.000
4.590,3.952,0.000
4.581,3.976,0.000
4.559,3.988,0.000
4.557,4.017,0.000
4.548,4.041,0.000
4.458,3.993,0.000
4.881,4.407,0.000
4.500,4.094,0.000
4.477,4.106,0.000
4.454,4.117,0.000
4.438,4.135,0.000
4.782,4.491,0.000
4.412,4.176,0.000
4.389,4.187,0.000
4.366,4.198,0.000
4.324,4.190,0.000
4.327,4.226,0.000
4.316,4.249,0.000
4.306,4.272,0.000
4.258,4.258,0.000
4.279,4.312,0.000
4.249,4.316,0.000
4.238,4.339,0.000
4.215,4.350,0.000
4.680,4.868,0.000
4.193,4.395,0.000
4.194,4.431,0.000
4.146,4.415,0.000
4.135,4.438,0.000
4.105,4.441,0.000
4.094,4.464,0.000
4.136,4.545,0.000
4.083,4.522,0.000
4.041,4.512,0.000
4.358,4.904,0.000
4.017,4.557,0.000
4.191,4.792,0.000
3.987,4.595,0.000
3.963,4.604,0.000
3.939,4.612,0.000
3.956,4.668,0.000
3.926,4.670,0.000
4.217,5.057,0.000
3.978,4.808,0.000
3.865,4.710,0.000
3.835,4.711,0.000
4.147,5.134,0.000
3.809,4.755,0.000
4.092,5.148,0.000
3.826,4.853,0.000
3.737,4.778,0.000
4.040,5.209,0.000
3.710,4.822,0.000
3.685,4.829,0.000
3.672,4.851,0.000
3.653,4.865,0.000
3.634,4.879,0.000
3.635,4.922,0.000
3.595,4.908,0.000
3.865,5.320,0.000
3.567,4.950,0.000
3.537,4.950,0.000
3.807,5.372,0.000
3.508,4.992,0.000
3.765,5.402,0.000
3.484,5.041,0.000
3.686,5.379,0.000
3.409,5.017,0.000
3.405,5.052,0.000
3.375,5.051,0.000
3.632,5.482,0.000
3.350,5.099,0.000
3.532,5.424,0.000
3.310,5.126,0.000
3.280,5.124,0.000
3.536,5.572,0.000
3.244,5.157,0.000
3.488,5.593,0.000
3.199,5.175,0.000
3.193,5.210,0.000
3.422,5.634,0.000
3.142,5.219,0.000
3.374,5.654,0.000
3.348,5.660,0.000
3.072,5.241,0.000
3.056,5.261,0.000
3.026,5.257,0.000
3.014,5.284,0.000
3.002,5.312,0.000
2.977,5.316,0.000
3.243,5.845,0.000
2.931,5.331,0.000
3.127,5.740,0.000
2.893,5.362,0.000
2.859,5.350,0.000
3.081,5.819,0.000
2.838,5.411,0.000
2.813,5.414,0.000
2.799,5.441,0.000
2.766,5.428,0.000
2.745,5.439,0.000
2.719,5.442,0.000
2.694,5.445,0.000
2.672,5.455,0.000
2.655,5.474,0.000
2.637,5.492,0.000
2.612,5.494,0.000
2.598,5.521,0.000
2.569,5.515,0.000
2.547,5.525,0.000
