X,Y,Z
# Scan parameters: Height: 20cm, Layer height: 0.50cm
# Data points below:
2.073,0.000,0.000
2.208,0.009,0.000
2.090,0.016,0.000
2.004,0.024,0.000
2.455,0.039,0.000
1.995,0.039,0.000
2.199,0.052,0.000
2.216,0.061,0.000
1.995,0.063,0.000
2.012,0.071,0.000
2.011,0.079,0.000
2.011,0.087,0.000
1.993,0.094,0.000
2.027,0.104,0.000
1.984,0.109,0.000
2.001,0.118,0.000
2.009,0.126,0.000
2.000,0.134,0.000
2.211,0.157,0.000
2.016,0.151,0.000
1.998,0.157,0.000
2.267,0.187,0.000
1.997,0.173,0.000
2.216,0.201,0.000
2.215,0.209,0.000
1.995,0.196,0.000
2.205,0.226,0.000
2.010,0.214,0.000
2.001,0.221,0.000
2.202,0.252,0.000
1.982,0.235,0.000
1.989,0.243,0.000
1.980,0.250,0.000
2.206,0.288,0.000
1.986,0.267,0.000
1.968,0.272,0.000
2.203,0.314,0.000
2.017,0.295,0.000
2.200,0.331,0.000
1.972,0.304,0.000
1.988,0.315,0.000
2.188,0.355,0.000
1.977,0.329,0.000
2.243,0.382,0.000
1.966,0.343,0.000
1.879,0.335,0.000
1.972,0.360,0.000
1.815,0.339,0.000
2.053,0.392,0.000
1.959,0.382,0.000
2.133,0.424,0.000
1.998,0.406,0.000
1.834,0.380,0.000
2.053,0.434,0.000
1.840,0.396,0.000
1.830,0.401,0.000
1.828,0.409,0.000
2.071,0.471,0.000
1.859,0.431,0.000
1.959,0.462,0.000
2.049,0.492,0.000
1.820,0.444,0.000
1.827,0.454,0.000
2.059,0.520,0.000
1.823,0.468,0.000
1.830,0.477,0.000
1.819,0.482,0.000
2.010,0.541,0.000
1.832,0.501,0.000
1.813,0.504,0.000
1.700,0.480,0.000
1.902,0.544,0.000
1.807,0.525,0.000
1.669,0.492,0.000
1.684,0.504,0.000
1.699,0.515,0.000
1.680,0.517,0.000
1.669,0.521,0.000
1.894,0.599,0.000
1.884,0.604,0.000
1.663,0.540,0.000
1.879,0.619,0.000
1.860,0.621,0.000
1.657,0.560,0.000
1.872,0.641,0.000
1.627,0.564,0.000
1.658,0.582,0.000
1.690,0.601,0.000
1.662,0.598,0.000
1.635,0.596,0.000
1.641,0.605,0.000
1.655,0.618,0.000
1.644,0.621,0.000
1.633,0.625,0.000
1.614,0.624,0.000
1.890,0.740,0.000
1.601,0.634,0.000
1.820,0.729,0.000
1.793,0.726,0.000
1.593,0.653,0.000
1.852,0.767,0.000
1.621,0.679,0.000
1.822,0.771,0.000
1.608,0.688,0.000
1.816,0.786,0.000
1.494,0.654,0.000
1.608,0.711,0.000
1.822,0.814,0.000
1.618,0.731,0.000
1.591,0.726,0.000
1.580,0.728,0.000
1.618,0.753,0.000
1.582,0.745,0.000
1.794,0.853,0.000
1.775,0.853,0.000
1.581,0.767,0.000
1.570,0.769,0.000
1.583,0.783,0.000
1.451,0.725,0.000
1.641,0.828,0.000
1.526,0.778,0.000
1.642,0.845,0.000
1.439,0.748,0.000
1.469,0.770,0.000
1.748,0.926,0.000
1.438,0.769,0.000
1.523,0.822,0.000
1.424,0.776,0.000
1.680,0.924,0.000
1.450,0.805,0.000
1.634,0.915,0.000
1.623,0.917,0.000
1.604,0.915,0.000
1.374,0.791,0.000
1.589,0.923,0.000
1.407,0.825,0.000
1.396,0.826,0.000
1.401,0.836,0.000
1.590,0.957,0.000
1.394,0.847,0.000
1.375,0.843,0.000
1.593,0.985,0.000
1.337,0.834,0.000
1.526,0.960,0.000
1.369,0.869,0.000
1.570,1.005,0.000
1.362,0.880,0.000
1.555,1.013,0.000
1.356,0.890,0.000
1.547,1.025,0.000
1.349,0.901,0.000
1.353,0.911,0.000
1.341,0.912,0.000
1.345,0.922,0.000
1.334,0.922,0.000
1.338,0.933,0.000
1.525,1.072,0.000
1.323,0.938,0.000
1.229,0.879,0.000
1.316,0.948,0.000
1.230,0.894,0.000
1.432,1.049,0.000
1.282,0.947,0.000
1.410,1.050,0.000
1.290,0.968,0.000
1.190,0.901,0.000
1.216,0.928,0.000
1.372,1.055,0.000
1.187,0.920,0.000
1.335,1.044,0.000
1.194,0.941,0.000
1.212,0.963,0.000
1.194,0.956,0.000
1.190,0.961,0.000
1.157,0.942,0.000
1.147,0.941,0.000
1.320,1.092,0.000
1.168,0.974,0.000
1.121,0.942,0.000
1.160,0.983,0.000
1.128,0.963,0.000
1.325,1.141,0.000
1.307,1.134,0.000
1.130,0.989,0.000
1.113,0.981,0.000
1.109,0.985,0.000
1.283,1.149,0.000
1.115,1.006,0.000
1.273,1.159,0.000
1.072,0.984,0.000
1.075,0.994,0.000
1.140,1.062,0.000
1.054,0.990,0.000
1.244,1.177,0.000
1.093,1.043,0.000
1.076,1.034,0.000
1.105,1.071,0.000
1.238,1.209,0.000
1.037,1.021,0.000
1.060,1.051,0.000
1.049,1.049,0.000
1.219,1.229,0.000
1.060,1.077,0.000
1.315,1.346,0.000
1.000,1.031,0.000
1.028,1.069,0.000
1.219,1.278,0.000
1.026,1.084,0.000
0.925,0.985,0.000
1.017,1.092,0.000
1.013,1.096,0.000
0.926,1.010,0.000
1.079,1.186,0.000
1.006,1.115,0.000
0.908,1.014,0.000
1.065,1.199,0.000
0.900,1.021,0.000
1.080,1.235,0.000
1.027,1.183,0.000
0.919,1.067,0.000
0.896,1.049,0.000
1.025,1.209,0.000
0.906,1.078,0.000
1.039,1.246,0.000
1.183,1.430,0.000
0.863,1.052,0.000
1.018,1.251,0.000
0.867,1.073,0.000
0.857,1.069,0.000
0.998,1.255,0.000
0.842,1.069,0.000
0.982,1.256,0.000
0.834,1.075,0.000
0.841,1.093,0.000
0.831,1.089,0.000
0.816,1.077,0.000
0.834,1.111,0.000
0.813,1.091,0.000
0.808,1.095,0.000
0.810,1.105,0.000
0.943,1.297,0.000
0.790,1.096,0.000
0.769,1.076,0.000
0.792,1.118,0.000
0.788,1.121,0.000
0.794,1.140,0.000
0.774,1.119,0.000
0.901,1.315,0.000
0.770,1.133,0.000
0.891,1.322,0.000
0.740,1.108,0.000
0.762,1.150,0.000
0.752,1.145,0.000
0.737,1.132,0.000
0.738,1.143,0.000
0.865,1.351,0.000
0.859,1.354,0.000
0.725,1.152,0.000
0.720,1.155,0.000
0.726,1.174,0.000
0.711,1.160,0.000
0.701,1.155,0.000
0.702,1.166,0.000
0.697,1.168,0.000
0.816,1.380,0.000
0.693,1.182,0.000
0.683,1.177,0.000
0.805,1.398,0.000
0.674,1.182,0.000
0.725,1.283,0.000
0.660,1.179,0.000
0.660,1.190,0.000
0.803,1.461,0.000
0.651,1.195,0.000
0.664,1.231,0.000
0.641,1.200,0.000
0.637,1.203,0.000
0.732,1.396,0.000
